Nama Provinsi,Jumlah Penduduk,Laju Pertumbuhan Penduduk
Bali,4336.9,1.17
Banten,12927.3,2.14
Bengkulu,1991.8,1.63
D I Yogyakarta,3842.9,1.15
Dki Jakarta,10557.8,1.02
Gorontalo,1202.6,1.58
Jambi,3624.6,1.72
Jawa Barat,49316.7,1.48
Jawa Tengah,34718.2,0.76
Jawa Timur,39698.6,0.62
Kalimantan Barat,5069.1,1.56
Kalimantan Selatan,4244.1,1.71
Kalimantan Tengah,2714.9,2.26
Kalimantan Timur,3721.4,2.24
Kalimantan Utara,742.2,3.84
Kep. Bangka Belitung,1488.8,2.14
Kepulauan Riau,2189.7,2.9
Lampung,8447.7,1.13
Maluku,1802.9,1.75
Maluku Utara,1255.8,2.08
Nanggroe Aceh Darussalam,5371.5,1.93
Nusa Tenggara Barat,5070.4,1.29
Nusa Tenggara Timur,5456.2,1.66
Papua,3379.3,1.88
Papua Barat,959.6,2.55
Riau,6971.7,2.52
Sulawesi Barat,1380.3,1.91
Sulawesi Selatan,8851.2,1.05
Sulawesi Tengah,3054,1.61
Sulawesi Tenggara,2704.7,2.1
Sulawesi Utara,2507,1.07
Sumatera Barat,5441.2,1.25
Sumatera Selatan,8470.7,1.39
Sumatera Utara,14562.5,1.24
